timestamp,src_IP,dst_IP,Protocol,src_port,dst_port
2026-03-19 20:00:58.812611,10.95.184.64,209.126.35.78,TCP,32900,443
2026-03-19 20:00:58.874141,209.126.35.78,10.95.184.64,TCP,443,32900
2026-03-19 20:00:59.715293,,,TCP,39222,443
2026-03-19 20:00:59.715644,,,TCP,39222,443
2026-03-19 20:00:59.715923,,,TCP,39222,443
2026-03-19 20:00:59.786512,,,TCP,443,39222
2026-03-19 20:00:59.787033,,,TCP,443,39222
2026-03-19 20:00:59.787268,,,TCP,39222,443
2026-03-19 20:01:01.026166,,,TCP,42366,443
2026-03-19 20:01:01.337718,,,TCP,443,42366
2026-03-19 20:01:01.338165,,,TCP,42366,443
